"pid","week","group","subgroup","gender","intervention","last_intervention","bilateral_communication_count","quiz_count","booklet_count","arena_count","chat_count","forum_count","playground_count","bilateral_communication_active_days","quiz_active_days","booklet_active_days","arena_active_days","chat_active_days","forum_active_days","playground_active_days","active_days","event_count","bilat_count_bool","quiz_count_bool","booklet_count_bool","arena_count_bool","chat_count_bool","forum_count_bool","playground_count_bool","event_count_bool"
186,3,"B","f","m","None","personal/unspecific",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
135,3,"A","f","f","None","personal/specific",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
238,12,"C","m","f","personal/unspecific","personal/unspecific",5,21,2,4,0,0,2,5,4,2,1,0,0,1,5,34,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE
331,4,"B","f","m","None","personal/unspecific",0,0,1,62,0,0,0,0,0,1,3,0,0,0,4,63,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE
154,3,"C","m","m","impersonal/specific","impersonal/specific",1,0,1,1,0,0,5,1,0,1,1,0,0,2,3,8,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE
411,1,"C","f","m","None","None",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
58,4,"C","f","m","None","impersonal/specific",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
370,0,"B","m","f","None","None",0,0,1,0,0,0,14,0,0,1,0,0,0,3,3,15,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE
368,4,"C","m","m","None","impersonal/specific",2,0,1,0,0,0,0,2,0,1,0,0,0,0,2,3,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE
69,14,"B","m","f","None","impersonal/specific",0,11,0,75,0,0,19,0,3,0,4,0,0,5,6,105,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE,TRUE
71,0,"A","f","m","None","None",0,1,1,0,0,0,0,0,1,1,0,0,0,0,2,2,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE
111,0,"A","f","m","None","None",0,1,1,3,0,0,2,0,1,1,1,0,0,2,3,7,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE
290,13,"B","f","m","None","impersonal/specific",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
332,13,"A","f","m","None","impersonal/specific",0,10,2,39,0,1,18,0,2,1,2,0,1,5,7,70,FALSE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE
355,14,"A","m","m","None","impersonal/specific",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
196,10,"C","m","f","None","personal/specific",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
285,13,"B","f","m","None","impersonal/specific",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
467,12,"B","f","m","None","impersonal/specific",0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,1,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE
267,8,"A","m","m","None","impersonal/specific",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
179,9,"B","m","m","None","impersonal/specific",0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,1,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE
123,13,"C","f","m","None","personal/unspecific",0,0,0,0,0,0,6,0,0,0,0,0,0,2,2,6,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE
444,14,"C","m","f","None","personal/unspecific",0,0,0,14,0,0,0,0,0,0,1,0,0,0,1,14,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE
405,8,"B","f","f","impersonal/specific","impersonal/specific",0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,1,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE
309,13,"A","f","f","None","impersonal/specific",0,0,2,0,0,0,1,0,0,1,0,0,0,1,2,3,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE
44,12,"A","f","m","None","impersonal/specific",0,8,0,86,0,0,7,0,4,0,3,0,0,3,5,101,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE,TRUE
396,4,"A","m","f","personal/unspecific","personal/unspecific",0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,1,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE
313,9,"A","m","m","None","impersonal/specific",0,1,1,0,0,0,0,0,1,1,0,0,0,0,2,2,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE
61,10,"C","f","f","None","personal/specific",0,1,1,0,0,0,0,0,1,1,0,0,0,0,1,2,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE
313,14,"A","m","m","None","impersonal/specific",1,10,0,0,0,0,0,1,3,0,0,0,0,0,3,11,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
176,10,"A","f","f","impersonal/specific","impersonal/specific",0,1,1,0,0,0,0,0,1,1,0,0,0,0,2,2,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE
94,2,"C","m","m","None","None",0,3,1,19,0,0,10,0,1,1,2,0,0,4,4,33,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE
257,5,"C","m","m","None","impersonal/specific",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
362,13,"C","f","m","None","personal/unspecific",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
352,2,"B","f","m","personal/unspecific","personal/unspecific",0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,1,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE
26,6,"C","m","m","impersonal/specific","impersonal/specific",0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,1,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE
223,12,"B","m","m","None","impersonal/specific",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
